영화명,장르,배우,감독,제작사,상영시간,개봉일,줄거리,url,TMDB 키워드,Gemini 키워드,국가,실관람객 평점,네티즌 평점,네이버 관심도(찜),누적 관객수,온라인 판매실적(당월),온라인 판매실적(익월),온라인 판매실적(익익월),매력도,유사작,경쟁작,예측 매력도
마녀(魔女) Part2,액션,"신시아, 박은빈, 서은수, 진구, 성유빈, 조민수, 차순배, 저스틴 하비, 채서안, 채원빈, 서이라, 정라엘, 김기해, 장재영, 정예진, 이종석, 김다미, 엄태구, 모그, 신영옥, 김대흥, 신희철, 정환욱, 우강민, 최홍락, 홍원표, 유태근, 윤기창, 오기덕, 이규영, 한재웅, 문동식, 노승윤, 고남호, 이준, 임승준, 장남수, 최동구, 김한솔, 공경배, 서문호, 이선호, 한상경, 이상렬, 조광욱, 정운, 조창원, 오원혁, 김민규, 김소민, 김벼리, 장지호, 김용우",박훈정,"(주)영화사 금월, (주)스튜디오앤뉴, (주)페퍼민트앤컴퍼니, (주)넥스트엔터테인먼트월드(NEW), (주)넥스트엔터테인먼트월드(NEW), (사)한국농아인협회, 한국시각장애인연합회",137.0,20220615.0,"자윤이 사라진 뒤, 정체불명의 집단의 무차별 습격으로 마녀 프로젝트가 진행되고 있는 아크가 초토화된다. 그곳에서 홀로 살아남은 소녀는 생애 처음 세상 밖으로 발을 내딛고 우연히 만난 경희의 도움으로 농장에서 지내며 따뜻한 일상에 적응해간다. 한편, 소녀가 망실되자 행방을 쫓는 책임자 장과 마녀 프로젝트의 창시자 백총괄의 지령을 받고 제거에 나선 본사 요원 조현, 경희의 농장 소유권을 노리는 조직의 보스 용두와 상해에서 온 의문의 4인방까지 각기 다른 목적을 지닌 세력이 하나 둘 모여들기 시작하면서 소녀 안에 숨겨진 본성이 깨어나는데…",https://image.tmdb.org/t/p/w500/cah6iIYQBctvCmBjsKGb1NCiygr.jpg,"witch, amnesia, supernatural, psychological thriller, audition, hidden identity, supernatural power, dark, extreme violence","폭력적인,시골,생존",한국,6.951,6.55,10917,280만,776,1157,768,2701,"마녀, 핸섬가이즈, 블랙 크록, 쥬라기 월드: 폴른 킹덤, 헤레틱",,18458.34
말할 수 없는 비밀,"판타지, 멜로/로맨스","도경수, 원진아, 신예은, 하윤희",서유민,"(주)하이브미디어코프, 메가박스중앙(주) 플러스엠 엔터테인먼트, 쏠레어파트너스(유), (주)하이그라운드",103.0,20250127.0,"혼자 사는 남자의 집에 두 명의 낯선 여자가 들어와 살기 시작했다 어릴 적 헤어진 아버지를 찾아 나선 자매라고 자신들을 소개한 여자들은 남자의 집에 기거하며 거부할 수 없는 매력으로 남자를 유혹하기 시작하는데... 두 여자의 정체는 혼자 사는 남자들만을 노리며 전국적으로 살인을 일삼은 연쇄 살인 듀오. 결국 남자도 여자들의 계획대로 목숨을 잃는다. 자신들의 성공을 자축하며 즐거워하는 두 여자 앞에 그 남자의 동생이라는 사람이 나타난다. 외모도 목소리도 첫 번째 남자와 똑같지만, 성격만은 완전히 다른 두 번째 남자. 지금까지 봐온 남자들과는 전혀 다른 성격의 남자와 맞닥뜨린 두 여자. 과연 이 세 명의 운명은 어떻게 될 것인가?",https://image.tmdb.org/t/p/w500/6rktqRazPJfFJdVgSkTSW15kpbN.jpg,softcore,"로맨틱한,학교,사랑/로맨스",한국,8.571,8.19,12589,82만,4577,2329,1139,8045,"나의 사랑 나의 신부, 동창회의 목적 2 (무삭제), 바이러스, 당신이 잠든 사이, 알라딘","히트맨, 히트맨2, 서바이브, 바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전",52734.16
명량,"사극, 액션","김윤석, 백윤식, 정재영, 허준호, 김성규, 이규형, 이무생, 최덕문, 안보현, 박명훈, 박훈, 문정희, 정기섭, 유성주, 안성봉, 안세호, 이성욱, 오누리, 주석태, 최광제, 최정태, 김중희, 안성기, 여진구, 이제훈, 박용우, 김민상, 공명, 남명렬, 남경읍, 배한성, 김재영, 최단비, 송요셉, 김효민, 강성락, 이건록, 노형원, 임일규, 허재호, 한우진, 이재한, 강신구, 이태형, 김형석, 최돈학, 이지영, 이상호, 전운종, 한대훈, 정대경, 고해성, 남상우, 정영록, 이재우, 고기영, 문바롬, 이동희, 김용준, 손대민, 윤상영, 박형준, 이규탁, 김범수, 박상원, 진범일, 서한돌, 조성국, 이시안, 서대건, 정시훈, 김준석, 박성현, 김형록, 황성웅, 위민국, 이민수, 김진형, 윤현승, 남태우, 우혁, 김무섭, 구본혁, 채강, 채원우, 김동환, 한재학, 정동근, 지상우, 송치훈, 김태응, 강민태, 박웅선, 강수호, 박현욱, 김서준, 황재운, 이웅규, 김시국, 서현재, 김백겸, 공지삵, 강태우, 이승헌, 함진성, 이동현, 이원희, 손수호, 최기표, 황민혁, 정하영, 신형근, 정유준, 서정민, 정민혁, 김태훈, 정종훈, 김서빈, 조현수, 윤영진, 하영진, 정민철, 김명수, 양동혁, 박성현, 정승현, 백경선, 임성민, 엄기영, 박인국, 유명환, 김민수, 오영철, 최지현, 오동훈, 민주호, 김동형, 이창균, 김경훈, 김진욱, 이종섭, 오창후, 허재욱, 박상준, 허태경, 안준호, 조재현, 최지환, 문형돈, 오지훈, 이시헌, 박원진, 한지은, 신재영, 송광주, 장루이, 현서영, 신치영, 황민형, 김한상, 장유화, 연원모, 김지안, 석예린, 권지희, 문정환, 변봉식, 박광복, 박선애, 윤혁진, 김시우, 박연",김한민,"(주)빅스톤픽쳐스, 롯데컬처웍스(주)롯데엔터테인먼트, (주)에이스메이커무비웍스, (주)에이스메이커무비웍스, 롯데컬처웍스(주)롯데엔터테인먼트, (주)에이스메이커무비웍스, (사)한국농아인협회, 한국시각장애인연합회",152.0,20231220.0,"1597년 임진왜란 6년, 오랜 전쟁으로 인해 혼란이 극에 달한 조선. 무서운 속도로 한양으로 북상하는 왜군에 의해 국가존망의 위기에 처하자 누명을 쓰고 파면당했던 이순신 장군이 삼도수군통제사로 재임명된다. 하지만 그에게 남은 건 전의를 상실한 병사와 두려움에 가득 찬 백성, 그리고 12척의 배 뿐. 마지막 희망이었던 거북선마저 불타고 잔혹한 성격과 뛰어난 지략을 지닌 용병 구루지마가 왜군 수장으로 나서자 조선은 더욱 술렁인다. 330척에 달하는 왜군의 배가 속속 집결하고 모두가 패배를 직감하는 순간, 이순신 장군은 단 12척의 배를 이끌고 바다를 향해 나서는데...",https://image.tmdb.org/t/p/w500/fl3G8TprVzt4icbYyQKqdPmUfIO.jpg,"navy, biography, based on true story, battleship, naval warfare, 16th century, battle of myeongryang, japanese invasion of korea, korean navy, joseon dynasty (1392–1910), yi sun-sin, imjin war","비장한,역사적,전쟁",한국,8.881,8.11,51283,1761만,2778,2923,809,6510,"노량: 죽음의 바다, 오펜하이머, 존 오브 인터레스트, 행복의 나라, 영웅","뽀로로 극장판 슈퍼스타 대모험, 노량: 죽음의 바다, 아쿠아맨과 로스트 킹덤, 신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~",333527.785
명탐정 코난: 100만 달러의 펜타그램,애니메이션,"김선혜, 강수진, 신용우, 최재호",나가오카 치카,"TMS 엔터테인먼트, (주)씨제이이엔엠, (주)씨제이이엔엠",110.0,20240717.0,"홋카이도 하코다테에 있는 ‘오노에’ 재벌 가의 창고에 ‘괴도 키드’의 예고장이 도착한다. ‘빅 주얼’만을 노리는 키드가 이번에 노리는 것은 과거 신선조 귀신 부장 ‘히지카타 토시조’와 얽힌 전설적인 검. 검술 대회에 참가하기 위해 하코다테에 방문한 ‘핫토리 헤이지’와 그를 응원하기 위해 온 ‘코난’ 일행도 괴도 키드를 막기 위해 사건에 뛰어들게 된다. 한편, 가슴에 열 십 자(十) 모양의 자상을 입은 시신이 발견되고 ‘죽음의 상인’이라고 불리는 무기상이 용의자로 지목된다. 그 역시 괴도 키드가 찾는 검을 노리고 있었고, 그 검이 오노에 가문이 세대에 걸쳐 지킨 보물을 찾을 열쇠임이 밝혀진다. 검을 쫓는 키드에게 수수께끼의 검사가 습격해 오고, 절체절명의 위기가 닥쳐오는데…!",https://image.tmdb.org/t/p/w500/n5tubyY6HoGzhd3RpTAmfKgrt9Y.jpg,"detective, shounen, anime","서스펜스 있는,도시,범죄",일본,8.051,8.32,2761,75만,6052,2035,1426,9513,"그녀가 죽었다, 스트리밍, 설계자, 타겟, 야당","극장판 도라에몽: 진구의 지구 교향곡, 탈출: 프로젝트 사일런스, 데드풀과 울버린, 슈퍼 배드, 슈퍼배드",30876.885
모아나 2,애니메이션,"아우이 크라발호, 드웨인 존슨",데이브 데릭 주니어,"월트디즈니컴퍼니코리아 유한책임회사, 월트디즈니컴퍼니코리아 유한책임회사",99.0,20241127.0,바다를 누볐던 선조들에게서 예기치 못한 부름을 받은 모아나가 마우이와 다시 만나 새로운 선원들과 함께 오랫동안 잊혀진 멀고 위험한 바다 너머로 떠나는 특별한 모험을 담은 이야기,https://image.tmdb.org/t/p/w500/hwmwTFtMbzxAWbIOp1RyyiOCyx0.jpg,"sea, ocean, villain, musical, sequel, coming of age, duringcreditsstinger, hopeful","희망적인,판타지 세계,성장","미국, 캐나다",7.911,7.43,5873,355만,51761,72275,12218,136254,"라푼젤, 센과 치히로의 행방불명, 위시, 모아나, 아바타: 물의 길","모아나, 원정빌라",103253.385
모아나,애니메이션,"아우이 크라발호, 드웨인 존슨",데이브 데릭 주니어,"월트디즈니컴퍼니코리아 유한책임회사, 월트디즈니컴퍼니코리아 유한책임회사",99.0,20241127.0,바다를 누볐던 선조들에게서 예기치 못한 부름을 받은 모아나가 마우이와 다시 만나 새로운 선원들과 함께 오랫동안 잊혀진 멀고 위험한 바다 너머로 떠나는 특별한 모험을 담은 이야기,https://image.tmdb.org/t/p/w500/hwmwTFtMbzxAWbIOp1RyyiOCyx0.jpg,"sea, ocean, villain, musical, sequel, coming of age, duringcreditsstinger, hopeful","희망적인,판타지 세계,성장","미국, 캐나다",7.911,9.14,5873,241만,6906,6353,1423,14682,"라푼젤, 센과 치히로의 행방불명, 위시, 모아나 2, 아바타: 물의 길","모아나 2, 원정빌라",46068.15
무명,다큐멘터리,"하정우, 김중희",유진주,"재단법인 온누리선교재단(CGNTV), 커넥트픽쳐스(주)",89.0,20250625.0,한량처럼 살고 있는 맹강 앞에 나타난 한 남자. 그 남자는 맹강에게 혁명군의 작전에 함께 할 것을 제안한다. 혁명군의 작전에 함께 하게 된 맹강과 그의 벗 철호 그리고 작은 고추 홍은봉. 위태로운 작전을 수행하는 세 사람의 여정이 시작된다,https://image.tmdb.org/t/p/w500/lCakXg8BY115sYO4K51QxfUbLm6.jpg,"martial arts, revolution, train robbery","마음이 따뜻해지는,역사적,구원",한국,9.591,9.72,1378,6.6만,19,7079,165,7263,"외계+인 2부, 어바웃 타임, 대가족, 패딩턴: 페루에 가다!, 3일의 휴가",,11640.68
미니언즈,"애니메이션, 어드벤처, 코미디","피에르 꼬팽, 스티브 카렐, 타라지 P. 헨슨",카일 발다,"유니버설픽쳐스인터내셔널 코리아(유), 유니버설픽쳐스인터내셔널 코리아(유)",87.0,20220720.0,"세계 최고의 슈퍼 악당을 꿈꾸는 미니보스 ‘그루’와 그를 따라다니는 미니언들. 어느 날 그루는 최고의 악당 조직 ‘빌런6’의 마법 스톤을 훔치는 데 성공하지만 뉴페이스 미니언 ‘오토’의 실수로 스톤을 잃어버리고 빌런6에게 납치까지 당한다. 미니보스를 구하기 위해 잃어버린 스톤을 되찾아야 하는 ‘오토’, 그리고 쿵푸를 마스터해야 하는 ‘케빈’, ‘스튜어트’, ‘밥’! 올 여름 극장가를 점령할 MCU(미니언즈 시네마틱 유니버스)가 돌아온다!",https://image.tmdb.org/t/p/w500/b6Q4hqPWxL3IsNfBwta5I8CsClI.jpg,"1970s, villain, sequel, spin off, duringcreditsstinger, supervillain, illumination, gentleminions","유머러스한,역사적,우정",미국,7.841,7.12,5184,262만,621,617,234,1472,"미니언즈2, 밀수, 데드풀과 울버린, 보더랜드, 슈퍼 배드",미니언즈2,5491.065
미니언즈2,"애니메이션, 어드벤처, 코미디","피에르 꼬팽, 스티브 카렐, 타라지 P. 헨슨",카일 발다,"유니버설픽쳐스인터내셔널 코리아(유), 유니버설픽쳐스인터내셔널 코리아(유)",87.0,20220720.0,,,,"유머러스한,역사적,우정",미국,7.841,7.5,5184,226만,655,1158,849,2662,"미니언즈, 밀수, 데드풀과 울버린, 보더랜드, 슈퍼 배드",미니언즈,5366.62
미션 임파서블: 데드 레코닝,"액션, 스릴러, 어드벤처","톰 크루즈, 헤일리 앳웰, 빙 라메스, 사이먼 페그, 레베카 퍼거슨, 바네사 커비, 에사이 모랄레스, 폼 클레멘티에프",크리스토퍼 맥쿼리,"파라마운트 픽쳐스, 롯데컬처웍스(주)롯데엔터테인먼트, 롯데컬처웍스(주)롯데엔터테인먼트",163.0,20230712.0,"모든 인류를 위협할 새로운 무기를 추적하게 된 에단 헌트와 IMF팀은 이 무기가 인류의 미래를 통제할 수 있다는 사실을 알게 된다. 전 세계가 위태로운 상황에 처한 가운데, 이를 추적하던 에단 헌트에게 어둠의 세력까지 접근하고 마침내 미스터리하고 강력한 빌런과 마주하게 된 그는 가장 위험한 작전을 앞두고 자신이 아끼는 사람들의 생명과 중요한 임무 사이에서 선택을 해야 하는 상황에 놓이게 되는데…",https://image.tmdb.org/t/p/w500/dIcLgXA6R54EZ0XPSMKW4XDNCAA.jpg,"mask, artificial intelligence (a.i.), diving, submarine, espionage, spy, nuclear missile, fake identity, secret agent, stunt, sequel, infiltration, terrorist plot, fictional government agency, misinformation, government agency, based on tv series, secret government agency","긴장감 있는,현대,기술",미국,8.501,8.51,9553,402만,14180,18483,9068,41731,"쥬라기 월드: 도미니언, 파묘, 귀공자, 캡틴 아메리카: 브레이브 뉴 월드, 침범",풍재기시,58562.655
밀수,액션,"김혜수, 염정아, 조인성, 박정민, 김종수, 고민시, 김재화, 박준면, 박경혜, 주보비, 곽진석, 정도원, 신민재, 김충길, 이정수, 안세호, 최종원, 김원해, 김경덕, 윤병희, 김기천, 윤종구, 신영옥, 홍성오, 김준식, 이상희, 신삼봉, 구본웅, 백주희, 전현숙, 이선희, 이진희, 신우희, 백승철, 윤대열, 이태형, 정재원, 장기하, 진경, 윤경호, 송원수",류승완,"(주)외유내강, (주)넥스트엔터테인먼트월드(NEW), (주)넥스트엔터테인먼트월드(NEW), (주)콘텐츠판다, (사)한국농아인협회, 한국시각장애인연합회",129.0,20230726.0,"1970년대, 바닷가에 인접한 작은 마을 군천엔 절친인 두 해녀 춘자와 진숙, 그리고 진숙의 동생이 살고 있다. 그들은 생계를 위해 항상 물 속에서 해산물들을 채집하는 일을 한다. 하지만 해변 근처에 공장들이 하나 둘 지어지면서, 해녀들의 생계에 곤란이 생기고 선원들은 생계를 위해서 밀수 일에 뛰어들게 된다. 그렇게 시작된 밀수업은 진숙의 가족이 감당하기 벅찰만큼 규모가 커지고 마을의 평화도 점차 깨지기 시작한다.",https://image.tmdb.org/t/p/w500/ayLXqPZCu3uaLLhXiqvw5NBb7Lw.jpg,"1970s, smugglers, smuggling, haenyeo","유머러스한,역사적,범죄",한국,7.931,7.72,13754,514만,25521,15055,2810,43386,"탐정 말로, 미니언즈2, 미니언즈, 필사의 추격, 구룡성채: 무법지대",,86665.74
바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,애니메이션,"하성용, 정재헌, 엄상현, 김율, 유동균, 한경화, 김정은, 박성영",,"와이드 릴리즈(주), (주)얼리버드픽쳐스, 와이드 릴리즈(주)",58.0,20250127.0,"#1. 옥토넛과 펭귄 형제의 모험
 페이소의 동생 핀토가 얼음이 녹은 남극 바다에 고립된다.
 소식을 들은 페이소는 스노우 모빌 기능이 추가된 테라 4호와 함께 급히 출동!
 사나운 범고래와 코끼리물범이 사는 남극에서 빠져나올 수 있을까?  #2. 옥토넛과 영구동토 원정대
 캐나다 북부를 탐사하던 옥토요원 펄.
 얼어 있어야 할 영구동토가 녹고 있음을 확인하고 옥토경보를 울린다.
 이에 순록에게 건초를 배달 중이던 옥토넛 대원들은
 영구동토 얼리기 작전에 급히 돌입하는데!  #3. 옥토넛과 눈덧신토끼
 기상이변으로 너무 일찍 찾아온 겨울.
 눈덧신토끼들의 털이 보호색인 흰색으로 바뀌기도 전에
 숲은 이미 눈에 뒤덮여 버렸다.
 이제 트윅의 새 탐험선 테라 7호가 나설 차례!  #4. 옥토넛과 고리무늬물범
 북극 동물들을 살피러 간 옥토요원 펄, 페리윙클, 포니.
 그런데 빙상은 점차 얇아지고 눈도 내리지 않아서
 고리무늬물범들 집이 녹아내리는 중이다.
 바나클 대장과 옥토넛은 북극에 눈을 만들기로 결심한다!  #5. 옥토넛과 눈폭풍 훈련
 조카들을 데리고 북극곰 스카우트 눈폭풍 훈련을 떠난 바나클.
 그런데 예상밖의 엄청난 눈보라가 시작되고, 통신도 끊기고 만다.
 바나클은 이 위기 상황에서 무사히 탈출할 수 있을까?",https://image.tmdb.org/t/p/w500/6Sn2Fz6LGtSEuNicLuQecLr5HUk.jpg,,"가볍고 유쾌한,판타지 세계,생존",영국,8.731,6.56,172,6.1만,912,1746,1037,3695,"바다 탐험대 옥토넛 어보브 앤 비욘드 : 바다가 위험해, 브레드이발소: 빵스타의 탄생, 뽀로로 극장판 슈퍼스타 대모험, 쿵푸팬더4, 극장판 도라에몽: 진구의 지구 교향곡","히트맨, 히트맨2, 서바이브, 말할 수 없는 비밀",25253.18
바다 탐험대 옥토넛 어보브 앤 비욘드 : 바다가 위험해,"애니메이션, 액션, 어드벤처","하성용, 정재헌, 엄상현, 윤승희, 김율, 유동균, 한경화, 김정은, 박성영",,"와이드 릴리즈(주), (주)얼리버드픽쳐스, 와이드 릴리즈(주)",59.0,20240814.0,"#1. 옥토넛과 붉은 위험, 적조  플로리다 해안에 심각한 적조가 나타나자, 옥토넛이 총출동!  버블 필터로 물을 정화하고, 동물들을 구조하기 시작한다.  하지만 아픈 동물들이 응급구조선 탐험선W 안으로 계속 밀려드는데...  #2. 옥토넛과 지진해일  거대한 지진해일에 휩쓸려 울창한 숲에 고립된 칼리코 잭.  트윅과 콰지는 급히 탐험선K를 몰고 구조에 나선다.  숲에는 칼리코 잭뿐만 아니라 조난당한 바다 동물들이 여럿 있는데...  #3. 옥토넛과 하와이몽크물범  쿠레 환초에 사는 몽크물범 개체수를 조사하러 떠난 셸링턴과 버드.  산호초 벽이 점점 무너지는 걸 목격하고 옥토 경보를 울린다.  산호초를 고치고 몰려드는 상어를 몰아내야 하는 상황! 테라3호가 필요하다!  #4. 옥토넛과 화산 상어  세계에서 가장 활발한 해저 화산 카바치를 탐사하러 나선 라일라.  분화구에 몰려있던 상어 무리에서 아기 상어가 혼자 떨어지고,  라일라와 아기 상어가 뜨거운 용암 동굴에 갇힌다. 테라2호, 물속으로 출동!  #5. 옥토넛과 갯벌 살리기 작전  쉬어 갈 갯벌을 찾지 못해 어려움에 처한 도요새를 만난 트래커.  사라지는 갯벌을 살리기 위해 옥토넛에 도움을 청한다.  옥토넛과 옥토요원들은 서해안에 새로운 갯벌을 만드는 임무를 시작하는데...  여기에 최첨단 파워 수트와 옥토레이가 힘을 합친다!",https://image.tmdb.org/t/p/w500/38OBa7bQeQL5wohCnv9WBHk4FBn.jpg,,"가볍고 유쾌한,판타지 세계,생존",영국,9.001,8.5,184,4.2만,993,1029,860,2882,"바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전, 브레드이발소: 빵스타의 탄생, 뽀로로 극장판 슈퍼스타 대모험, 쿵푸팬더4, 극장판 도라에몽: 진구의 지구 교향곡","사랑의 하츄핑, 에이리언: 로물루스, 행복의 나라, 필사의 추격",23969.7
바이러스,드라마,"배두나, 김윤석, 장기하, 문성근, 김희원, 오현경, 민진웅, 염혜란, 유순웅, 손석구, 최형인, 김예원, 이경진, 곽민호, 홍석빈, 김경일, 박건락, 이동용, 문선용, 황재열, 곽진, 박희본",강이관,"더램프(주), 쏠라픽처스 주식회사, (주)바이포엠스튜디오",98.0,20250507.0,신종 바이러스로 인해 아내의 자매들과 함께 자가 격리된 남자가 바이러스 치료를 위해 벌이는 행각을 그린 성애영화,https://image.tmdb.org/t/p/w500/gSvLzCvjA8nVWE3vywODTPQfNei.jpg,softcore,"로맨틱한,현대,사랑/로맨스",한국,6.931,5.96,1941,7.4만,2718,1380,345,4443,"나의 사랑 나의 신부, 동창회의 목적 2 (무삭제), 당신이 잠든 사이, 말할 수 없는 비밀, 알라딘",파이널 데스티네이션 블러드라인,14271.41
범죄도시3,"범죄, 액션","마동석, 이준혁, 아오키 무네타카, 마동석, 김병탁, 이범수, 김민재, 이지훈, 김도건, 고규필, 전석호, 안세호, 한규원, 최우준, 최동구, 이세호, 이태규, 배누리, 최광제, 심영은, 김기호, 고건한, 신현용, 강윤, 홍준영, 류성현, 유인혁, 쿠니무라 준, 박지환, 정호진, 황순명, 윤상돈, 김지수, 박혜영, 김원경, 박상원, 공대유, 박준혁, 공경배, 김민, 최원석, 송이우, 주혁, 전아희, 손지영, 차재현, 연예림, 이혜지, 박상남, 이재성, 이재혁, 서문호, 한기장, 손인용, 정미형, 최춘범, 이진한, 김태윤, 백남준, 박태산, 이충구, 김소원, 강희제, 강한별, 홍이주, 배소영, 서영진, 손태오, 남지우, 신혜선, 주예은, 채건희, 이정환, 김리우, 장용희, 최현도, 김다솔, 이명로, 정우탁, 정현옥, 여성환, 김영조, 문경린, 이형석, 이찬희, 김우현, 류한종, 손종복, 이진희, 김민준, 이윤석, 정수원, 국형, 박현석, 김민수, 최광덕, 이상원, 임소현, 이한솔, 홍상우, 정무성, 강하나, 최태주, 김주희, 손승훈, 이문빈, 정규영, 전민정, 임연빈, 이호철, 이동호, 김세중, 심하느리",이상용,"주식회사 빅펀치픽쳐스, (주)홍필름, (주)비에이엔터테인먼트, 주식회사 에이비오엔터테인먼트, 메가박스중앙(주) 플러스엠 엔터테인먼트, 주식회사 에이비오엔터테인먼트, 주식회 사 케이무비엔터테인먼트, (사)한국농아인협회, 한국시각장애인연합회",105.0,20230531.0,,,,"폭력적인,도시,범죄",한국,7.651,7.55,30132,1068만,29341,22021,12280,63642,"더러운 돈에 손대지 마라, 더 와일드: 야수들의 전쟁, 범죄도시4, 구룡성채: 무법지대, 보호자",,215921.265
범죄도시4,"액션, 범죄","김무열, 박지환, 이동휘, 마동석, 곽자형, 이범수, 김민재, 이지훈, 이주빈, 김도건, 김지훈, 현봉식, 김신비, 김영웅, 류지훈, 백승환, 배재원, 안성봉, 김호준, 정인기, 권일용, 박보경, 김수진, 배해선, 김다빛, 조진결, 최현도, 강준석, 정유겸, 김선문, 김모범, 박근정, 이상진, 최순진, 강전영, 정지영, 고서정, 조현식, 정기욱, 김근혁, 장태민, 임서아, 강신철, 김형범, 김형국, 홍상우, 주미진, 서지범, 이가회, 김시영, 민효경, 박현진, 강지연, 지지안, 우지영, 김예소리, 이한솔, 주석인",허명행,"주식회사 빅펀치픽쳐스, (주)홍필름, (주)비에이엔터테인먼트, 주식회사 에이비오엔터테인먼트, 메가박스중앙(주) 플러스엠 엔터테인먼트, 주식회사 에이비오엔터테인먼트, 주식회사 케이무비엔터테인먼트, (사)한국농아인협회, 한국시각장애인연합회",109.0,20240424.0,"신종 마약 사건 3년 뒤, 괴물형사 마석도와 서울 광수대는 배달앱을 이용한 마약 판매 사건을 수사하던 중 수배 중인 앱 개발자가 필리핀에서 사망한 사건이 대규모 온라인 불법 도박 조직과 연관되어 있음을 알아낸다. 필리핀에 거점을 두고 납치, 감금, 폭행, 살인 등으로 대한민국 온라인 불법 도박 시장을 장악한 특수부대 용병 출신의 빌런 백창기와 한국에서 더 큰 판을 짜고 있는 IT업계 천재 CEO 장동철. 마석도는 더 커진 판을 잡기 위해 장이수에게 뜻밖의 협력을 제안하고 광역수사대는 물론, 사이버수사대까지 합류해 범죄를 소탕하기 시작하는데…",https://image.tmdb.org/t/p/w500/jucHQwnRSma1O9V2bM007e4eSd7.jpg,"casino, police, detective, sequel, illegal gambling, manila philippines, online gambling, intense, admiring, amused, compassionate, excited","폭력적인,도시,범죄",한국,7.511,7.37,28295,1150만,54285,652236,132477,838998,"더러운 돈에 손대지 마라, 더 와일드: 야수들의 전쟁, 범죄도시3, 구룡성채: 무법지대, 보호자",,273820.105
베놈,"액션, SF, 스릴러","톰 하디, 치웨텔 에지오포, 주노 템플, 리스 이판, 페기 루, 알라나 우바치, 스티븐 그레이엄",켈리 마르셀,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",108.0,20241023.0,환상의 케미스트리의 에디 브록과 그의 심비오트 베놈은 그들을 노리는 정체불명 존재의 추격을 피해 같이 도망을 다니게 된다. 한편 베놈의 창조자 널은 고향 행성에서부터 그들을 찾아내기 위해 지구를 침략하고 에디와 베놈은 그동안 겪어보지 못한 최악의 위기를 맞이하게 되는데…,https://image.tmdb.org/t/p/w500/ptfoRD0MmL8Ry0iBVccYbqoN9Xc.jpg,"hero, superhero, anti hero, villain, alien life-form, based on comic, sequel, aftercreditsstinger, woman director, angry, amused, indifferent, sony's spider-man universe","어두운,도시,정체성",미국,7.121,7.72,5380,388만,231,160,172,563,"보통의 가족, 베놈: 라스트 댄스, 사흘, 파이널 데스티네이션 블러드라인, 원정빌라","구룡성채: 무법지대, 보통의 가족, 더러운 돈에 손대지 마라, 베놈: 라스트 댄스, 아마존 활명수",41366.17
베놈: 라스트 댄스,"액션, SF, 스릴러","톰 하디, 치웨텔 에지오포, 주노 템플, 리스 이판, 페기 루, 알라나 우바치, 스티븐 그레이엄",켈리 마르셀,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",108.0,20241023.0,환상의 케미스트리의 에디 브록과 그의 심비오트 베놈은 그들을 노리는 정체불명 존재의 추격을 피해 같이 도망을 다니게 된다. 한편 베놈의 창조자 널은 고향 행성에서부터 그들을 찾아내기 위해 지구를 침략하고 에디와 베놈은 그동안 겪어보지 못한 최악의 위기를 맞이하게 되는데…,https://image.tmdb.org/t/p/w500/ptfoRD0MmL8Ry0iBVccYbqoN9Xc.jpg,"hero, superhero, anti hero, villain, alien life-form, based on comic, sequel, aftercreditsstinger, woman director, angry, amused, indifferent, sony's spider-man universe","어두운,도시,생존",미국,7.121,6.7,5380,176만,106087,0,42991,149078,"보통의 가족, 탈출: 프로젝트 사일런스, 고질라 VS. 콩, 베놈, 파이널 데스티네이션 블러드라인","구룡성채: 무법지대, 보통의 가족, 더러운 돈에 손대지 마라, 베놈, 아마존 활명수",118748.515
